qber,p_depol,log_neg,E_R_corrected,SP_BB84_per_signal,SP_6state_per_signal,ratio_ER_BB,ratio_ER_6st
0.02850,0.03800,0.9582859009,0.8131872660,0.3131872660,0.2258270209,2.5965,3.6009
0.02900,0.03867,0.9575432008,0.8106481525,0.3106481525,0.2243128422,2.6095,3.6139
0.02950,0.03933,0.9568001181,0.8081218481,0.3081218481,0.2228051651,2.6227,3.6270
0.03000,0.04000,0.9560566524,0.8056081422,0.3056081422,0.2213038845,2.6361,3.6403
0.03050,0.04067,0.9553128034,0.8031068311,0.3031068311,0.2198088986,2.6496,3.6537
0.03100,0.04133,0.9545685708,0.8006177179,0.3006177179,0.2183201092,2.6632,3.6672
0.03150,0.04200,0.9538239539,0.7981406120,0.2981406120,0.2168374210,2.6771,3.6808
0.03200,0.04267,0.9530789526,0.7956753290,0.2956753290,0.2153607420,2.6910,3.6946
0.03250,0.04333,0.9523335664,0.7932216901,0.2932216901,0.2138899829,2.7052,3.7085
0.03300,0.04400,0.9515877948,0.7907795221,0.2907795221,0.2124250572,2.7195,3.7226
0.03350,0.04467,0.9508416375,0.7883486570,0.2883486570,0.2109658810,2.7340,3.7369
0.03400,0.04533,0.9500950942,0.7859289319,0.2859289319,0.2095123730,2.7487,3.7512
0.03450,0.04600,0.9493481643,0.7835201886,0.2835201886,0.2080644544,2.7635,3.7658
0.03500,0.04667,0.9486008475,0.7811222735,0.2811222735,0.2066220483,2.7786,3.7804
0.03550,0.04733,0.9478531434,0.7787350374,0.2787350374,0.2051850803,2.7938,3.7953
0.03600,0.04800,0.9471050516,0.7763583355,0.2763583355,0.2037534782,2.8092,3.8103
0.03650,0.04867,0.9463565716,0.7739920268,0.2739920268,0.2023271715,2.8249,3.8254
0.03700,0.04933,0.9456077032,0.7716359742,0.2716359742,0.2009060919,2.8407,3.8408
0.03750,0.05000,0.9448584458,0.7692900443,0.2692900443,0.1994901728,2.8567,3.8563
0.03800,0.05067,0.9441087991,0.7669541074,0.2669541074,0.1980793495,2.8730,3.8720
0.03850,0.05133,0.9433587627,0.7646280372,0.2646280372,0.1966735589,2.8894,3.8878
0.03900,0.05200,0.9426083361,0.7623117104,0.2623117104,0.1952727395,2.9061,3.9038
0.03950,0.05267,0.9418575190,0.7600050073,0.2600050073,0.1938768317,2.9230,3.9200
0.04000,0.05333,0.9411063109,0.7577078109,0.2577078109,0.1924857769,2.9402,3.9364
0.04050,0.05400,0.9403547115,0.7554200073,0.2554200073,0.1910995185,2.9576,3.9530
0.04100,0.05467,0.9396027204,0.7531414853,0.2531414853,0.1897180010,2.9752,3.9698
0.04150,0.05533,0.9388503370,0.7508721366,0.2508721366,0.1883411703,2.9930,3.9868
0.04200,0.05600,0.9380975611,0.7486118553,0.2486118553,0.1869689736,3.0112,4.0039
0.04250,0.05667,0.9373443922,0.7463605382,0.2463605382,0.1856013594,3.0295,4.0213
0.04300,0.05733,0.9365908298,0.7441180844,0.2441180844,0.1842382775,3.0482,4.0389
0.04350,0.05800,0.9358368737,0.7418843954,0.2418843954,0.1828796787,3.0671,4.0567
0.04400,0.05867,0.9350825233,0.7396593750,0.2396593750,0.1815255150,3.0863,4.0747
0.04450,0.05933,0.9343277783,0.7374429292,0.2374429292,0.1801757397,3.1058,4.0929
0.04500,0.06000,0.9335726383,0.7352349661,0.2352349661,0.1788303067,3.1255,4.1114
0.04550,0.06067,0.9328171027,0.7330353957,0.2330353957,0.1774891715,3.1456,4.1300
0.04600,0.06133,0.9320611713,0.7308441303,0.2308441303,0.1761522901,3.1660,4.1489
0.04650,0.06200,0.9313048437,0.7286610839,0.2286610839,0.1748196196,3.1866,4.1681
0.04700,0.06267,0.9305481192,0.7264861723,0.2264861723,0.1734911183,3.2076,4.1875
0.04750,0.06333,0.9297909977,0.7243193132,0.2243193132,0.1721667450,3.2290,4.2071
0.04800,0.06400,0.9290334786,0.7221604260,0.2221604260,0.1708464596,3.2506,4.2270
0.04850,0.06467,0.9282755616,0.7200094319,0.2200094319,0.1695302228,3.2726,4.2471
0.04900,0.06533,0.9275172462,0.7178662535,0.2178662535,0.1682179961,3.2950,4.2675
0.04950,0.06600,0.9267585320,0.7157308153,0.2157308153,0.1669097417,3.3177,4.2881
0.05000,0.06667,0.9259994186,0.7136030429,0.2136030429,0.1656054228,3.3408,4.3091
0.05050,0.06733,0.9252399055,0.7114828638,0.2114828638,0.1643050031,3.3643,4.3303
0.05100,0.06800,0.9244799924,0.7093702067,0.2093702067,0.1630084471,3.3881,4.3517
0.05150,0.06867,0.9237196787,0.7072650018,0.2072650018,0.1617157202,3.4124,4.3735
0.05200,0.06933,0.9229589642,0.7051671806,0.2051671806,0.1604267881,3.4370,4.3956
0.05250,0.07000,0.9221978484,0.7030766761,0.2030766761,0.1591416175,3.4621,4.4179
0.05300,0.07067,0.9214363308,0.7009934223,0.2009934223,0.1578601756,3.4876,4.4406
0.05350,0.07133,0.9206744110,0.6989173546,0.1989173546,0.1565824302,3.5136,4.4636
0.05400,0.07200,0.9199120887,0.6968484096,0.1968484096,0.1553083497,3.5400,4.4869
0.05450,0.07267,0.9191493633,0.6947865252,0.1947865252,0.1540379032,3.5669,4.5105
0.05500,0.07333,0.9183862344,0.6927316401,0.1927316401,0.1527710602,3.5943,4.5344
0.05550,0.07400,0.9176227017,0.6906836946,0.1906836946,0.1515077910,3.6221,4.5587
0.05600,0.07467,0.9168587647,0.6886426296,0.1886426296,0.1502480662,3.6505,4.5834
0.05650,0.07533,0.9160944229,0.6866083873,0.1866083873,0.1489918571,3.6794,4.6084
0.05700,0.07600,0.9153296760,0.6845809111,0.1845809111,0.1477391353,3.7088,4.6337
0.05750,0.07667,0.9145645235,0.6825601450,0.1825601450,0.1464898732,3.7388,4.6594
0.05800,0.07733,0.9137989650,0.6805460342,0.1805460342,0.1452440435,3.7694,4.6855
0.05850,0.07800,0.9130330000,0.6785385249,0.1785385249,0.1440016194,3.8005,4.7120
0.05900,0.07867,0.9122666281,0.6765375641,0.1765375641,0.1427625745,3.8323,4.7389
0.05950,0.07933,0.9114998489,0.6745430998,0.1745430998,0.1415268829,3.8646,4.7662
0.06000,0.08000,0.9107326619,0.6725550808,0.1725550808,0.1402945193,3.8976,4.7939
0.06050,0.08067,0.9099650668,0.6705734569,0.1705734569,0.1390654586,3.9313,4.8220
0.06100,0.08133,0.9091970630,0.6685981784,0.1685981784,0.1378396762,3.9656,4.8505
0.06150,0.08200,0.9084286502,0.6666291968,0.1666291968,0.1366171479,4.0007,4.8795
0.06200,0.08267,0.9076598279,0.6646664641,0.1646664641,0.1353978500,4.0364,4.9090
0.06250,0.08333,0.9068905956,0.6627099334,0.1627099334,0.1341817589,4.0730,4.9389
0.06300,0.08400,0.9061209530,0.6607595582,0.1607595582,0.1329688518,4.1102,4.9693
0.06350,0.08467,0.9053508996,0.6588152930,0.1588152930,0.1317591060,4.1483,5.0001
0.06400,0.08533,0.9045804349,0.6568770929,0.1568770929,0.1305524991,4.1872,5.0315
0.06450,0.08600,0.9038095586,0.6549449137,0.1549449137,0.1293490093,4.2270,5.0634
0.06500,0.08667,0.9030382701,0.6530187119,0.1530187119,0.1281486148,4.2676,5.0958
0.06550,0.08733,0.9022665691,0.6510984448,0.1510984448,0.1269512946,4.3091,5.1287
0.06600,0.08800,0.9014944550,0.6491840701,0.1491840701,0.1257570276,4.3516,5.1622
0.06650,0.08867,0.9007219276,0.6472755464,0.1472755464,0.1245657932,4.3950,5.1963
0.06700,0.08933,0.8999489862,0.6453728328,0.1453728328,0.1233775711,4.4394,5.2309
0.06750,0.09000,0.8991756305,0.6434758890,0.1434758890,0.1221923414,4.4849,5.2661
0.06800,0.09067,0.8984018600,0.6415846754,0.1415846754,0.1210100844,4.5315,5.3019
0.06850,0.09133,0.8976276743,0.6396991528,0.1396991528,0.1198307806,4.5791,5.3384
0.06900,0.09200,0.8968530729,0.6378192827,0.1378192827,0.1186544110,4.6279,5.3754
0.06950,0.09267,0.8960780554,0.6359450273,0.1359450273,0.1174809567,4.6780,5.4132
0.07000,0.09333,0.8953026213,0.6340763491,0.1340763491,0.1163103992,4.7292,5.4516
0.07050,0.09400,0.8945267703,0.6322132112,0.1322132112,0.1151427202,4.7818,5.4907
0.07100,0.09467,0.8937505017,0.6303555774,0.1303555774,0.1139779017,4.8357,5.5305
0.07150,0.09533,0.8929738153,0.6285034117,0.1285034117,0.1128159260,4.8909,5.5711
0.07200,0.09600,0.8921967105,0.6266566789,0.1266566789,0.1116567754,4.9477,5.6123
0.07250,0.09667,0.8914191868,0.6248153442,0.1248153442,0.1105004328,5.0059,5.6544
0.07300,0.09733,0.8906412440,0.6229793732,0.1229793732,0.1093468811,5.0657,5.6973
0.07350,0.09800,0.8898628814,0.6211487320,0.1211487320,0.1081961036,5.1272,5.7410
0.07400,0.09867,0.8890840986,0.6193233873,0.1193233873,0.1070480837,5.1903,5.7855
0.07450,0.09933,0.8883048952,0.6175033061,0.1175033061,0.1059028051,5.2552,5.8308
0.07500,0.10000,0.8875252707,0.6156884559,0.1156884559,0.1047602517,5.3220,5.8771
0.07550,0.10067,0.8867452247,0.6138788046,0.1138788046,0.1036204075,5.3906,5.9243
0.07600,0.10133,0.8859647568,0.6120743206,0.1120743206,0.1024832570,5.4613,5.9724
0.07650,0.10200,0.8851838663,0.6102749727,0.1102749727,0.1013487847,5.5341,6.0215
0.07700,0.10267,0.8844025530,0.6084807301,0.1084807301,0.1002169754,5.6091,6.0716
0.07750,0.10333,0.8836208163,0.6066915624,0.1066915624,0.0990878139,5.6864,6.1228
0.07800,0.10400,0.8828386558,0.6049074395,0.1049074395,0.0979612854,5.7661,6.1750
0.07850,0.10467,0.8820560710,0.6031283318,0.1031283318,0.0968373753,5.8483,6.2283
0.07900,0.10533,0.8812730614,0.6013542102,0.1013542102,0.0957160691,5.9332,6.2827
0.07950,0.10600,0.8804896267,0.5995850457,0.0995850457,0.0945973526,6.0208,6.3383
0.08000,0.10667,0.8797057663,0.5978208098,0.0978208098,0.0934812115,6.1114,6.3951
0.08050,0.10733,0.8789214797,0.5960614744,0.0960614744,0.0923676321,6.2050,6.4531
0.08100,0.10800,0.8781367666,0.5943070117,0.0943070117,0.0912566006,6.3018,6.5125
