qber,p_depol,log_neg_bits,bb84_SP_bits,sixstate_SP_bits,gap_bb84,gap_sixstate
0.03050,0.04067,0.9553128034,0.6062136621,0.7547654748,0.3490991413,0.2005473287
0.03100,0.04133,0.9545685708,0.6012354357,0.7514838803,0.3533331350,0.2030846904
0.03150,0.04200,0.9538239539,0.5962812240,0.7482142932,0.3575427299,0.2056096607
0.03200,0.04267,0.9530789526,0.5913506580,0.7449565290,0.3617282946,0.2081224236
0.03250,0.04333,0.9523335664,0.5864433803,0.7417104089,0.3658901861,0.2106231575
0.03300,0.04400,0.9515877948,0.5815590443,0.7384757596,0.3700287506,0.2131120352
0.03350,0.04467,0.9508416375,0.5766973141,0.7352524133,0.3741443235,0.2155892243
0.03400,0.04533,0.9500950942,0.5718578638,0.7320402069,0.3782372304,0.2180548873
0.03450,0.04600,0.9493481643,0.5670403771,0.7288389823,0.3823077872,0.2205091820
0.03500,0.04667,0.9486008475,0.5622445469,0.7256485859,0.3863563006,0.2229522616
0.03550,0.04733,0.9478531434,0.5574700749,0.7224688687,0.3903830685,0.2253842747
0.03600,0.04800,0.9471050516,0.5527166710,0.7192996855,0.3943883805,0.2278053661
0.03650,0.04867,0.9463565716,0.5479840536,0.7161408955,0.3983725181,0.2302156761
0.03700,0.04933,0.9456077032,0.5432719483,0.7129923616,0.4023357549,0.2326153415
0.03750,0.05000,0.9448584458,0.5385800886,0.7098539505,0.4062783572,0.2350044953
0.03800,0.05067,0.9441087991,0.5339082149,0.7067255324,0.4102005842,0.2373832667
0.03850,0.05133,0.9433587627,0.5292560743,0.7036069809,0.4141026883,0.2397517818
0.03900,0.05200,0.9426083361,0.5246234209,0.7004981729,0.4179849152,0.2421101632
0.03950,0.05267,0.9418575190,0.5200100146,0.6973989885,0.4218475044,0.2444585305
0.04000,0.05333,0.9411063109,0.5154156218,0.6943093109,0.4256906891,0.2467970001
0.04050,0.05400,0.9403547115,0.5108400146,0.6912290260,0.4295146969,0.2491256855
0.04100,0.05467,0.9396027204,0.5062829707,0.6881580228,0.4333197497,0.2514446975
0.04150,0.05533,0.9388503370,0.5017442732,0.6850961928,0.4371060638,0.2537541442
0.04200,0.05600,0.9380975611,0.4972237106,0.6820434303,0.4408738505,0.2560541308
0.04250,0.05667,0.9373443922,0.4927210763,0.6789996319,0.4446233158,0.2583447603
0.04300,0.05733,0.9365908298,0.4882361687,0.6759646968,0.4483546611,0.2606261330
0.04350,0.05800,0.9358368737,0.4837687907,0.6729385266,0.4520680830,0.2628983471
0.04400,0.05867,0.9350825233,0.4793187500,0.6699210250,0.4557637733,0.2651614984
0.04450,0.05933,0.9343277783,0.4748858584,0.6669120979,0.4594419199,0.2674156804
0.04500,0.06000,0.9335726383,0.4704699321,0.6639116535,0.4631027061,0.2696609847
0.04550,0.06067,0.9328171027,0.4660707915,0.6609196020,0.4667463113,0.2718975008
0.04600,0.06133,0.9320611713,0.4616882607,0.6579358553,0.4703729107,0.2741253160
0.04650,0.06200,0.9313048437,0.4573221678,0.6549603276,0.4739826758,0.2763445160
0.04700,0.06267,0.9305481192,0.4529723446,0.6519929348,0.4775757747,0.2785551845
0.04750,0.06333,0.9297909977,0.4486386264,0.6490335944,0.4811523713,0.2807574033
0.04800,0.06400,0.9290334786,0.4443208521,0.6460822260,0.4847126266,0.2829512526
0.04850,0.06467,0.9282755616,0.4400188638,0.6431387506,0.4882566978,0.2851368110
0.04900,0.06533,0.9275172462,0.4357325071,0.6402030910,0.4917847391,0.2873141552
0.04950,0.06600,0.9267585320,0.4314616305,0.6372751715,0.4952969015,0.2894833605
0.05000,0.06667,0.9259994186,0.4272060858,0.6343549178,0.4987933328,0.2916445007
0.05050,0.06733,0.9252399055,0.4229657275,0.6314422575,0.5022741780,0.2937976480
0.05100,0.06800,0.9244799924,0.4187404133,0.6285371191,0.5057395790,0.2959428732
0.05150,0.06867,0.9237196787,0.4145300036,0.6256394330,0.5091896752,0.2980802458
0.05200,0.06933,0.9229589642,0.4103343613,0.6227491306,0.5126246030,0.3002098336
0.05250,0.07000,0.9221978484,0.4061533522,0.6198661448,0.5160444962,0.3023317036
0.05300,0.07067,0.9214363308,0.4019868446,0.6169904097,0.5194494862,0.3044459211
0.05350,0.07133,0.9206744110,0.3978347092,0.6141218608,0.5228397019,0.3065525502
0.05400,0.07200,0.9199120887,0.3936968193,0.6112604346,0.5262152694,0.3086516541
0.05450,0.07267,0.9191493633,0.3895730503,0.6084060689,0.5295763129,0.3107432944
0.05500,0.07333,0.9183862344,0.3854632803,0.6055587026,0.5329229542,0.3128275318
0.05550,0.07400,0.9176227017,0.3813673891,0.6027182758,0.5362553126,0.3149044260
0.05600,0.07467,0.9168587647,0.3772852591,0.5998847295,0.5395735056,0.3169740352
0.05650,0.07533,0.9160944229,0.3732167747,0.5970580060,0.5428776483,0.3190364169
0.05700,0.07600,0.9153296760,0.3691618221,0.5942380485,0.5461678539,0.3210916275
0.05750,0.07667,0.9145645235,0.3651202899,0.5914248012,0.5494442336,0.3231397223
0.05800,0.07733,0.9137989650,0.3610920684,0.5886182091,0.5527068966,0.3251807558
0.05850,0.07800,0.9130330000,0.3570770498,0.5858182186,0.5559559502,0.3272147813
0.05900,0.07867,0.9122666281,0.3530751283,0.5830247766,0.5591914998,0.3292418515
0.05950,0.07933,0.9114998489,0.3490861997,0.5802378310,0.5624136492,0.3312620178
0.06000,0.08000,0.9107326619,0.3451101617,0.5774573308,0.5656225002,0.3332753311
0.06050,0.08067,0.9099650668,0.3411469137,0.5746832256,0.5688181531,0.3352818412
0.06100,0.08133,0.9091970630,0.3371963568,0.5719154658,0.5720007062,0.3372815972
0.06150,0.08200,0.9084286502,0.3332583935,0.5691540030,0.5751702567,0.3392746472
0.06200,0.08267,0.9076598279,0.3293329282,0.5663987891,0.5783268996,0.3412610388
0.06250,0.08333,0.9068905956,0.3254198668,0.5636497771,0.5814707288,0.3432408185
0.06300,0.08400,0.9061209530,0.3215191164,0.5609069207,0.5846018366,0.3452140323
0.06350,0.08467,0.9053508996,0.3176305860,0.5581701742,0.5877203136,0.3471807254
0.06400,0.08533,0.9045804349,0.3137541857,0.5554394928,0.5908262492,0.3491409421
0.06450,0.08600,0.9038095586,0.3098898273,0.5527148324,0.5939197312,0.3510947262
0.06500,0.08667,0.9030382701,0.3060374238,0.5499961494,0.5970008463,0.3530421208
0.06550,0.08733,0.9022665691,0.3021968895,0.5472834010,0.6000696796,0.3549831681
0.06600,0.08800,0.9014944550,0.2983681402,0.5445765451,0.6031263148,0.3569179100
0.06650,0.08867,0.9007219276,0.2945510928,0.5418755401,0.6061708347,0.3588463875
