noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.1060,0.9214363308,0.8383467365,0.8804896267
0.1070,0.9206744110,0.8367320805,0.8793136763
0.1080,0.9199120887,0.8351156153,0.8781367666
0.1090,0.9191493633,0.8334973369,0.8769588961
0.1100,0.9183862344,0.8318772412,0.8757800631
0.1110,0.9176227017,0.8302553242,0.8746002660
0.1120,0.9168587647,0.8286315817,0.8734195034
0.1130,0.9160944229,0.8270060096,0.8722377736
0.1140,0.9153296760,0.8253786039,0.8710550751
0.1150,0.9145645235,0.8237493603,0.8698714062
0.1160,0.9137989650,0.8221182747,0.8686867653
0.1170,0.9130330000,0.8204853430,0.8675011509
0.1180,0.9122666281,0.8188505609,0.8663145614
0.1190,0.9114998489,0.8172139243,0.8651269951
0.1200,0.9107326619,0.8155754289,0.8639384504
0.1210,0.9099650668,0.8139350705,0.8627489258
0.1220,0.9091970630,0.8122928449,0.8615584196
0.1230,0.9084286502,0.8106487478,0.8603669301
0.1240,0.9076598279,0.8090027749,0.8591744559
0.1250,0.9068905956,0.8073549221,0.8579809951
0.1260,0.9061209530,0.8057051848,0.8567865463
0.1270,0.9053508996,0.8040535590,0.8555911077
0.1280,0.9045804349,0.8024000401,0.8543946778
0.1290,0.9038095586,0.8007446239,0.8531972548
0.1300,0.9030382701,0.7990873061,0.8519988371
0.1310,0.9022665691,0.7974280822,0.8507994231
0.1320,0.9014944550,0.7957669478,0.8495990112
0.1330,0.9007219276,0.7941038986,0.8483975995
0.1340,0.8999489862,0.7924389301,0.8471951866
0.1350,0.8991756305,0.7907720379,0.8459917707
0.1360,0.8984018600,0.7891032175,0.8447873501
0.1370,0.8976276743,0.7874324645,0.8435819232
0.1380,0.8968530729,0.7857597744,0.8423754882
0.1390,0.8960780554,0.7840851427,0.8411680435
0.1400,0.8953026213,0.7824085649,0.8399595875
0.1410,0.8945267703,0.7807300365,0.8387501183
0.1420,0.8937505017,0.7790495528,0.8375396344
0.1430,0.8929738153,0.7773671095,0.8363281339
0.1440,0.8921967105,0.7756827017,0.8351156153
0.1450,0.8914191868,0.7739963251,0.8339020767
0.1460,0.8906412440,0.7723079750,0.8326875164
0.1470,0.8898628814,0.7706176467,0.8314719328
0.1480,0.8890840986,0.7689253356,0.8302553242
0.1490,0.8883048952,0.7672310370,0.8290376887
0.1500,0.8875252707,0.7655347464,0.8278190246
0.1510,0.8867452247,0.7638364589,0.8265993303
0.1520,0.8859647568,0.7621361699,0.8253786039
0.1530,0.8851838663,0.7604338747,0.8241568437
0.1540,0.8844025530,0.7587295685,0.8229340480
0.1550,0.8836208163,0.7570232465,0.8217102150
0.1560,0.8828386558,0.7553149040,0.8204853430
0.1570,0.8820560710,0.7536045363,0.8192594301
0.1580,0.8812730614,0.7518921384,0.8180324747
0.1590,0.8804896267,0.7501777056,0.8168044748
0.1600,0.8797057663,0.7484612330,0.8155754289
0.1610,0.8789214797,0.7467427158,0.8143453350
0.1620,0.8781367666,0.7450221490,0.8131141913
0.1630,0.8773516264,0.7432995279,0.8118819962
0.1640,0.8765660588,0.7415748474,0.8106487478
0.1650,0.8757800631,0.7398481027,0.8094144442
