noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.1150,0.9145645235,0.8344887478,0.8237493603,0.6716556994,0.8698714062,0.7440211258,0.9145645235,0.8344887478
0.1160,0.9137989650,0.8330568509,0.8221182747,0.6688670621,0.8686867653,0.7417336042,0.9137989650,0.8330568509
0.1170,0.9130330000,0.8316251528,0.8204853430,0.6660802979,0.8675011509,0.7394450421,0.9130330000,0.8316251528
0.1180,0.9122666281,0.8301936553,0.8188505609,0.6632954280,0.8663145614,0.7371554403,0.9122666281,0.8301936553
0.1190,0.9114998489,0.8287623606,0.8172139243,0.6605124738,0.8651269951,0.7348647998,0.9114998489,0.8287623606
0.1200,0.9107326619,0.8273312706,0.8155754289,0.6577314568,0.8639384504,0.7325731213,0.9107326619,0.8273312706
0.1210,0.9099650668,0.8259003874,0.8139350705,0.6549523987,0.8627489258,0.7302804056,0.9099650668,0.8259003874
0.1220,0.9091970630,0.8244697129,0.8122928449,0.6521753211,0.8615584196,0.7279866537,0.9091970630,0.8244697129
0.1230,0.9084286502,0.8230392492,0.8106487478,0.6494002458,0.8603669301,0.7256918663,0.9084286502,0.8230392492
0.1240,0.9076598279,0.8216089984,0.8090027749,0.6466271947,0.8591744559,0.7233960444,0.9076598279,0.8216089984
0.1250,0.9068905956,0.8201789624,0.8073549221,0.6438561898,0.8579809951,0.7210991887,0.9068905956,0.8201789624
0.1260,0.9061209530,0.8187491434,0.8057051848,0.6410872531,0.8567865463,0.7188013003,0.9061209530,0.8187491434
0.1270,0.9053508996,0.8173195434,0.8040535590,0.6383204069,0.8555911077,0.7165023799,0.9053508996,0.8173195434
0.1280,0.9045804349,0.8158901644,0.8024000401,0.6355556733,0.8543946778,0.7142024285,0.9045804349,0.8158901644
0.1290,0.9038095586,0.8144610085,0.8007446239,0.6327930749,0.8531972548,0.7119014471,0.9038095586,0.8144610085
0.1300,0.9030382701,0.8130320777,0.7990873061,0.6300326339,0.8519988371,0.7095994365,0.9030382701,0.8130320777
0.1310,0.9022665691,0.8116033743,0.7974280822,0.6272743730,0.8507994231,0.7072963976,0.9022665691,0.8116033743
0.1320,0.9014944550,0.8101749001,0.7957669478,0.6245183148,0.8495990112,0.7049923315,0.9014944550,0.8101749001
0.1330,0.9007219276,0.8087466574,0.7941038986,0.6217644822,0.8483975995,0.7026872391,0.9007219276,0.8087466574
0.1340,0.8999489862,0.8073186481,0.7924389301,0.6190128978,0.8471951866,0.7003811213,0.8999489862,0.8073186481
0.1350,0.8991756305,0.8058908745,0.7907720379,0.6162635847,0.8459917707,0.6980739792,0.8991756305,0.8058908745
0.1360,0.8984018600,0.8044633385,0.7891032175,0.6135165658,0.8447873501,0.6957658137,0.8984018600,0.8044633385
0.1370,0.8976276743,0.8030360424,0.7874324645,0.6107718644,0.8435819232,0.6934566257,0.8976276743,0.8030360424
0.1380,0.8968530729,0.8016089882,0.7857597744,0.6080295037,0.8423754882,0.6911464164,0.8968530729,0.8016089882
