loss_dB_total,p_d,rate
0.0,1e-08,0.0019079240865329619
0.0,1.4677992676220705e-08,0.0019079164550450693
0.0,2.1544346900318822e-08,0.0019079052535850263
0.0,3.162277660168379e-08,0.0019078888121597621
0.0,4.641588833612782e-08,0.001907864679597688
0.0,6.812920690579608e-08,0.001907829258163692
0.0,1e-07,0.0019077772673044848
0.0,1.4677992676220674e-07,0.0019077009566581375
0.0,2.1544346900318822e-07,0.0019075889511758581
0.0,3.162277660168379e-07,0.0019074245565656152
0.0,4.6415888336127725e-07,0.0019071832732569717
0.0,6.812920690579608e-07,0.001906829150055685
0.0,1e-06,0.0019063094377536967
0.0,1.4677992676220675e-06,0.0019055467539867623
0.0,2.1544346900318822e-06,0.0019044276092123153
0.0,3.162277660168379e-06,0.0019027856217810595
0.0,4.641588833612773e-06,0.0019003770023171562
0.0,6.8129206905796085e-06,0.0018968448287366
0.0,1e-05,0.001891667160107121
0.0,1.4677992676220675e-05,0.0018840820432329576
0.0,2.1544346900318823e-05,0.0018729798798311024
0.0,3.1622776601683795e-05,0.0018567505007510766
0.0,4.641588833612772e-05,0.0018330689901643617
0.0,6.812920690579608e-05,0.0017986017273193464
0.0,0.0001,0.0017486139955375944
1.2244897959183674,1e-08,0.0014363574719814458
1.2244897959183674,1.4677992676220705e-08,0.0014363507046316914
1.2244897959183674,2.1544346900318822e-08,0.0014363407715534855
1.2244897959183674,3.162277660168379e-08,0.0014363261918593046
1.2244897959183674,4.641588833612782e-08,0.0014363047919472038
1.2244897959183674,6.812920690579608e-08,0.001436273381500088
1.2244897959183674,1e-07,0.001436227277975849
1.2244897959183674,1.4677992676220674e-07,0.0014361596087799152
1.2244897959183674,2.1544346900318822e-07,0.0014360602872648342
1.2244897959183674,3.162277660168379e-07,0.001435914510285508
1.2244897959183674,4.6415888336127725e-07,0.001435700554165139
1.2244897959183674,6.812920690579608e-07,0.0014353865423130782
1.2244897959183674,1e-06,0.0014349257065396398
1.2244897959183674,1.4677992676220675e-06,0.0014342494440923574
1.2244897959183674,2.1544346900318822e-06,0.0014332571535695263
1.2244897959183674,3.162277660168379e-06,0.001431801373530962
1.2244897959183674,4.641588833612773e-06,0.0014296660918875176
1.2244897959183674,6.8129206905796085e-06,0.00142653517062975
1.2244897959183674,1e-05,0.001421946556309801
1.2244897959183674,1.4677992676220675e-05,0.0014152262440361735
1.2244897959183674,2.1544346900318823e-05,0.0014053938010269574
1.2244897959183674,3.1622776601683795e-05,0.0013910287408821155
1.2244897959183674,4.641588833612772e-05,0.0013700845710299002
1.2244897959183674,6.812920690579608e-05,0.0013396358211040134
1.2244897959183674,0.0001,0.0012955443669795596
2.4489795918367347,1e-08,0.001081443779376765
2.4489795918367347,1.4677992676220705e-08,0.0010814377943471772
2.4489795918367347,2.1544346900318822e-08,0.001081429009558411
2.4489795918367347,3.162277660168379e-08,0.00108141611532363
2.4489795918367347,4.641588833612782e-08,0.0010813971893297732
2.4489795918367347,6.812920690579608e-08,0.00108136941010272
2.4489795918367347,1e-07,0.0010813286364907036
2.4489795918367347,1.4677992676220674e-07,0.0010812687905576805
2.4489795918367347,2.1544346900318822e-07,0.001081180952068783
2.4489795918367347,3.162277660168379e-07,0.0010810520299670869
2.4489795918367347,4.6415888336127725e-07,0.001080862813639003
2.4489795918367347,6.812920690579608e-07,0.0010805851152975651
