loss_dB,eta_total,path_alpha_scaling_UB,TF_pareto_LB,MDI_pareto_LB,UB_over_TF_ratio,UB_over_MDI_ratio
0.0,1.000000e+00,inf,8.251346e-04,1.903050e-03,—,—
10.0,1.000000e-01,5.484123e-01,2.497405e-04,1.867036e-04,2195.93,2937.34
20.0,1.000000e-02,1.520031e-01,7.782689e-05,1.818267e-05,1953.09,8359.78
30.0,1.000000e-03,4.635895e-02,2.444743e-05,1.696636e-06,1896.27,27324.04
40.0,1.000000e-04,1.449957e-02,7.665311e-06,1.368417e-07,1891.58,105958.71
50.0,1.000000e-05,4.569431e-03,2.368489e-06,5.945190e-09,1929.26,768592.93
60.0,1.000000e-06,1.443417e-03,6.955986e-07,0.000000e+00,2075.07,—
70.0,1.000000e-07,4.562924e-04,1.696470e-07,0.000000e+00,2689.66,—
80.0,1.000000e-08,1.442767e-04,9.467633e-09,0.000000e+00,15238.94,—
