loss_dB_total,p_d,rate
0.0,1e-09,0.0008252131690892941
0.0,1.4677992676220676e-09,0.0008252127038548884
0.0,2.1544346900318866e-09,0.0008252120209844069
0.0,3.1622776601683795e-09,0.0008252110186681468
0.0,4.641588833612773e-09,0.0008252095474702396
0.0,6.812920690579622e-09,0.0008252073880495281
0.0,1e-08,0.000825204218458771
0.0,1.4677992676220675e-08,0.0008251995661473873
0.0,2.1544346900318822e-08,0.000825192737513128
0.0,3.162277660168379e-08,0.0008251827145026293
0.0,4.641588833612773e-08,0.0008251680028511789
0.0,6.812920690579608e-08,0.0008251464093499091
0.0,1e-07,0.0008251147149629913
0.0,1.4677992676220674e-07,0.0008250681951250204
0.0,2.1544346900318822e-07,0.0008249999158395496
0.0,3.162277660168379e-07,0.0008248997009362955
0.0,4.6415888336127725e-07,0.000824752617166029
0.0,6.812920690579608e-07,0.0008245367526767606
0.0,1e-06,0.0008242199606770902
0.0,1.4677992676220675e-06,0.0008237550892729169
0.0,2.1544346900318822e-06,0.0008230730001795966
0.0,3.162277660168379e-06,0.0008220723651920877
0.0,4.641588833612773e-06,0.0008206047825905426
0.0,6.8129206905796085e-06,0.0008184531292016893
0.0,1e-05,0.0008153002048998167
1.2244897959183674,1e-09,0.0007107581426955914
1.2244897959183674,1.4677992676220676e-09,0.00071075767683147
1.2244897959183674,2.1544346900318866e-09,0.0007107569930367271
1.2244897959183674,3.1622776601683795e-09,0.0007107559893639243
1.2244897959183674,4.641588833612773e-09,0.0007107545161750595
1.2244897959183674,6.812920690579622e-09,0.0007107523538324124
1.2244897959183674,1e-08,0.0007107491799536677
1.2244897959183674,1.4677992676220675e-08,0.0007107445213501648
1.2244897959183674,2.1544346900318822e-08,0.000710737683484196
1.2244897959183674,3.162277660168379e-08,0.0007107276469317041
1.2244897959183674,4.641588833612773e-08,0.0007107129154212099
1.2244897959183674,6.812920690579608e-08,0.0007106912928093824
1.2244897959183674,1e-07,0.0007106595557770122
1.2244897959183674,1.4677992676220674e-07,0.000710612973522862
1.2244897959183674,2.1544346900318822e-07,0.0007105446030080167
1.2244897959183674,3.162277660168379e-07,0.0007104442550275291
1.2244897959183674,4.6415888336127725e-07,0.0007102969777117834
1.2244897959183674,6.812920690579608e-07,0.0007100808329787902
1.2244897959183674,1e-06,0.0007097636379030849
1.2244897959183674,1.4677992676220675e-06,0.0007092981926330894
1.2244897959183674,2.1544346900318822e-06,0.0007086152993803209
1.2244897959183674,3.162277660168379e-06,0.0007076135658802083
1.2244897959183674,4.641588833612773e-06,0.0007061445459871366
1.2244897959183674,6.8129206905796085e-06,0.0007039911564563277
1.2244897959183674,1e-05,0.0007008364769584872
2.4489795918367347,1e-09,0.000612837245106865
2.4489795918367347,1.4677992676220676e-09,0.0006128367786904476
2.4489795918367347,2.1544346900318866e-09,0.0006128360940850945
2.4489795918367347,3.1622776601683795e-09,0.000612835089222573
2.4489795918367347,4.641588833612773e-09,0.0006128336142876448
2.4489795918367347,6.812920690579622e-09,0.0006128314493825707
2.4489795918367347,1e-08,0.0006128282717436538
