loss_dB_total,e_delta,rate
0.0,0.001,0.001306880659882326
0.0,0.001177154137232303,0.0012970417112856691
0.0,0.0013856918628031274,0.001285706846726618
0.0,0.001631172909227838,0.0012726551137731737
0.0,0.001920141938638801,0.0012576342988565893
0.0,0.0022603030271419193,0.0012424751233191095
0.0,0.0026607250597988083,0.0012259958909961192
0.0,0.003132083512179837,0.0012070509781632697
0.0,0.0036869450645195733,0.0011852850680233295
0.0,0.00434010263644744,0.0011602947293392373
0.0,0.005108969774506924,0.00113162267041703
0.0,0.006014044907055618,0.0010987515237911698
0.0,0.00707945784384138,0.001061097196653596
0.0,0.008333613090239559,0.0010180018568202822
0.0,0.009809947127268775,0.0009687266726545237
0.0,0.011547819846894581,0.0009124444925691097
0.0,0.013593563908785255,0.0008592538015001612
0.0,0.016001719994958277,0.0008012206301204431
0.0,0.018836490894898,0.0007351225100313643
0.0,0.022173453187867787,0.00065995744303601
0.0,0.026101572156825358,0.0005746336816202864
0.0,0.03072557365267447,0.0004913479325548892
0.0,0.036168736144081594,0.0004126933366918172
0.0,0.04257617739046918,0.0003239861136811313
0.0,0.05011872336272722,0.00022426187821393177
1.2244897959183674,0.001,0.0011253506357022554
1.2244897959183674,0.001177154137232303,0.001116780256438069
1.2244897959183674,0.0013856918628031274,0.0011069071579868303
1.2244897959183674,0.001631172909227838,0.0010955389997185441
1.2244897959183674,0.001920141938638801,0.0010836247996992298
1.2244897959183674,0.0022603030271419193,0.0010711591377094204
1.2244897959183674,0.0026607250597988083,0.0010568204276931452
1.2244897959183674,0.003132083512179837,0.0010403369776239885
1.2244897959183674,0.0036869450645195733,0.0010213998624528128
1.2244897959183674,0.00434010263644744,0.0009996583527813448
1.2244897959183674,0.005108969774506924,0.000974714927906164
1.2244897959183674,0.006014044907055618,0.0009461198826993675
1.2244897959183674,0.00707945784384138,0.0009133655590453941
1.2244897959183674,0.008333613090239559,0.0008758802627625528
1.2244897959183674,0.009809947127268775,0.0008330219691912083
1.2244897959183674,0.011547819846894581,0.0007845419960084452
1.2244897959183674,0.013593563908785255,0.0007403274796169091
1.2244897959183674,0.016001719994958277,0.0006898998398726933
1.2244897959183674,0.018836490894898,0.0006324670360497755
1.2244897959183674,0.022173453187867787,0.0005671591862621783
1.2244897959183674,0.026101572156825358,0.0004930285529904815
1.2244897959183674,0.03072557365267447,0.0004233822132271769
1.2244897959183674,0.036168736144081594,0.00035508915690874246
1.2244897959183674,0.04257617739046918,0.0002780692125029013
1.2244897959183674,0.05011872336272722,0.00019148518591921782
2.4489795918367347,0.001,0.0009701296030789211
2.4489795918367347,0.001177154137232303,0.0009626670768075208
2.4489795918367347,0.0013856918628031274,0.0009540704567715401
2.4489795918367347,0.001631172909227838,0.0009446284520327031
2.4489795918367347,0.001920141938638801,0.0009352057139497168
2.4489795918367347,0.0022603030271419193,0.0009243614149551058
2.4489795918367347,0.0026607250597988083,0.0009118880883523398
2.4489795918367347,0.003132083512179837,0.0008975495280479827
2.4489795918367347,0.0036869450645195733,0.0008810771757850085
2.4489795918367347,0.00434010263644744,0.0008621661525865245
2.4489795918367347,0.005108969774506924,0.0008404709301001579
2.4489795918367347,0.006014044907055618,0.0008156006502608071
2.4489795918367347,0.00707945784384138,0.0007871141201715887
2.4489795918367347,0.008333613090239559,0.000754514535361358
2.4489795918367347,0.009809947127268775,0.0007172440212934543
2.4489795918367347,0.011547819846894581,0.0006769394350993408
2.4489795918367347,0.013593563908785255,0.0006385198462344996
2.4489795918367347,0.016001719994958277,0.000594703292043287
