eta_arm,total_p_BSM_all_outcomes,sum_p_times_LN,p_Psi_minus,LN_Psi_minus,Pirandola,ratio_beta_per_Pir
0.0010000000000000009,0.9999999999999993,0.0002717163931559012,0.00049975,0.271852319315559,0.0014434168696687186,0.18824526639920963
0.010000000000000009,0.9999999999999991,0.0027319094539346254,0.004975,0.2745637642145352,0.014499569695115089,0.18841313993304276
0.050000000000000044,0.999999999999999,0.01399466206465278,0.024374999999999997,0.28706999106980063,0.07400058144377693,0.18911556898083887
0.09999999999999998,0.9999999999999989,0.028862087391066958,0.047499999999999945,0.3038114462217578,0.15200309344504995,0.18987828955928965
0.15000000000000002,0.9999999999999991,0.044662370500174305,0.06937499999999994,0.3218909585598151,0.23446525363702297,0.19048609466593452
0.19999999999999996,0.999999999999999,0.06145780369980629,0.08999999999999989,0.34143224277670203,0.3219280948873623,0.19090537506926641
0.30000000000000004,0.9999999999999992,0.09828997753433143,0.12749999999999992,0.38545089229149604,0.5145731728297583,0.1910126347897459
0.4,0.9999999999999992,0.13986820380016643,0.15999999999999984,0.4370881368755205,0.7369655941662062,0.18978932654028657
0.5,0.9999999999999991,0.18666121506401082,0.18749999999999986,0.4977632401706959,1.0,0.18666121506401082
0.6,0.999999999999999,0.37212033003532824,0.20999999999999983,0.5690972840098177,1.3219280948873622,0.28149816277793505
0.7,0.9999999999999993,0.5428582557679064,0.22749999999999984,0.6529052068559418,1.7369655941662059,0.3125325323605469
0.8,0.9999999999999989,0.7022651857334163,0.23999999999999974,0.7511808265945445,2.3219280948873626,0.3024491530464398
0.9,0.9999999999999989,0.8537398069897065,0.24749999999999972,0.8660897632370608,3.3219280948873626,0.2570012903962795
0.95,0.999999999999999,0.9273950930812711,0.24937499999999976,0.9305115123521778,4.321928094887361,0.2145790195302731
