gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.7236,0.3521347664,0.0000000000
0.7246,0.3510063437,0.0000000000
0.7255,0.3498770378,0.0000000000
0.7265,0.3487468472,0.0000000000
0.7275,0.3476157705,0.0000000000
0.7285,0.3464838064,0.0000000000
0.7295,0.3453509533,0.0000000000
0.7305,0.3442172101,0.0000000000
0.7315,0.3430825752,0.0000000000
0.7325,0.3419470472,0.0000000000
0.7335,0.3408106248,0.0000000000
0.7345,0.3396733064,0.0000000000
0.7355,0.3385350908,0.0000000000
0.7365,0.3373959765,0.0000000000
0.7375,0.3362559621,0.0000000000
0.7385,0.3351150461,0.0000000000
0.7395,0.3339732272,0.0000000000
0.7405,0.3328305038,0.0000000000
0.7415,0.3316868746,0.0000000000
0.7425,0.3305423381,0.0000000000
0.7435,0.3293968929,0.0000000000
0.7445,0.3282505376,0.0000000000
0.7455,0.3271032706,0.0000000000
0.7465,0.3259550906,0.0000000000
0.7475,0.3248059960,0.0000000000
0.7485,0.3236559855,0.0000000000
0.7495,0.3225050575,0.0000000000
0.7505,0.3213532107,0.0000000000
0.7515,0.3202004434,0.0000000000
0.7525,0.3190467544,0.0000000000
0.7535,0.3178921420,0.0000000000
0.7545,0.3167366048,0.0000000000
0.7555,0.3155801413,0.0000000000
0.7565,0.3144227501,0.0000000000
0.7575,0.3132644296,0.0000000000
0.7585,0.3121051784,0.0000000000
0.7595,0.3109449949,0.0000000000
0.7605,0.3097838777,0.0000000000
0.7615,0.3086218253,0.0000000000
0.7625,0.3074588360,0.0000000000
0.7635,0.3062949086,0.0000000000
0.7645,0.3051300413,0.0000000000
0.7655,0.3039642327,0.0000000000
0.7665,0.3027974813,0.0000000000
0.7675,0.3016297856,0.0000000000
0.7685,0.3004611439,0.0000000000
0.7695,0.2992915549,0.0000000000
0.7705,0.2981210169,0.0000000000
0.7715,0.2969495284,0.0000000000
0.7725,0.2957770879,0.0000000000
0.7735,0.2946036937,0.0000000000
0.7744,0.2934293445,0.0000000000
0.7754,0.2922540385,0.0000000000
0.7764,0.2910777743,0.0000000000
0.7774,0.2899005503,0.0000000000
0.7784,0.2887223649,0.0000000000
0.7794,0.2875432165,0.0000000000
0.7804,0.2863631036,0.0000000000
0.7814,0.2851820246,0.0000000000
0.7824,0.2839999779,0.0000000000
0.7834,0.2828169619,0.0000000000
0.7844,0.2816329750,0.0000000000
0.7854,0.2804480157,0.0000000000
0.7864,0.2792620823,0.0000000000
0.7874,0.2780751732,0.0000000000
0.7884,0.2768872868,0.0000000000
0.7894,0.2756984216,0.0000000000
0.7904,0.2745085758,0.0000000000
0.7914,0.2733177480,0.0000000000
0.7924,0.2721259364,0.0000000000
0.7934,0.2709331394,0.0000000000
0.7944,0.2697393554,0.0000000000
0.7954,0.2685445828,0.0000000000
0.7964,0.2673488199,0.0000000000
0.7974,0.2661520651,0.0000000000
0.7984,0.2649543167,0.0000000000
0.7994,0.2637555731,0.0000000000
0.8004,0.2625558326,0.0000000000
0.8014,0.2613550936,0.0000000000
0.8024,0.2601533544,0.0000000000
0.8034,0.2589506134,0.0000000000
0.8044,0.2577468688,0.0000000000
0.8054,0.2565421190,0.0000000000
0.8064,0.2553363623,0.0000000000
0.8074,0.2541295970,0.0000000000
0.8084,0.2529218215,0.0000000000
0.8094,0.2517130340,0.0000000000
0.8104,0.2505032329,0.0000000000
0.8114,0.2492924164,0.0000000000
0.8124,0.2480805829,0.0000000000
0.8134,0.2468677305,0.0000000000
0.8144,0.2456538577,0.0000000000
0.8154,0.2444389627,0.0000000000
0.8164,0.2432230438,0.0000000000
0.8174,0.2420060992,0.0000000000
0.8184,0.2407881272,0.0000000000
0.8194,0.2395691261,0.0000000000
0.8204,0.2383490942,0.0000000000
0.8214,0.2371280296,0.0000000000
0.8224,0.2359059307,0.0000000000
0.8234,0.2346827956,0.0000000000
0.8244,0.2334586227,0.0000000000
0.8253,0.2322334102,0.0000000000
0.8263,0.2310071563,0.0000000000
0.8273,0.2297798592,0.0000000000
0.8283,0.2285515171,0.0000000000
0.8293,0.2273221283,0.0000000000
0.8303,0.2260916910,0.0000000000
0.8313,0.2248602034,0.0000000000
0.8323,0.2236276637,0.0000000000
0.8333,0.2223940701,0.0000000000
0.8343,0.2211594208,0.0000000000
0.8353,0.2199237140,0.0000000000
0.8363,0.2186869479,0.0000000000
0.8373,0.2174491206,0.0000000000
0.8383,0.2162102304,0.0000000000
0.8393,0.2149702753,0.0000000000
0.8403,0.2137292537,0.0000000000
0.8413,0.2124871636,0.0000000000
0.8423,0.2112440032,0.0000000000
0.8433,0.2099997706,0.0000000000
0.8443,0.2087544641,0.0000000000
0.8453,0.2075080817,0.0000000000
0.8463,0.2062606215,0.0000000000
0.8473,0.2050120818,0.0000000000
0.8483,0.2037624607,0.0000000000
0.8493,0.2025117562,0.0000000000
0.8503,0.2012599665,0.0000000000
0.8513,0.2000070898,0.0000000000
0.8523,0.1987531240,0.0000000000
0.8533,0.1974980674,0.0000000000
0.8543,0.1962419180,0.0000000000
0.8553,0.1949846739,0.0000000000
0.8563,0.1937263333,0.0000000000
0.8573,0.1924668941,0.0000000000
0.8583,0.1912063545,0.0000000000
0.8593,0.1899447126,0.0000000000
0.8603,0.1886819664,0.0000000000
0.8613,0.1874181140,0.0000000000
0.8623,0.1861531534,0.0000000000
0.8633,0.1848870827,0.0000000000
0.8643,0.1836199000,0.0000000000
0.8653,0.1823516033,0.0000000000
0.8663,0.1810821906,0.0000000000
0.8673,0.1798116600,0.0000000000
0.8683,0.1785400095,0.0000000000
0.8693,0.1772672372,0.0000000000
0.8703,0.1759933409,0.0000000000
0.8713,0.1747183189,0.0000000000
0.8723,0.1734421690,0.0000000000
0.8733,0.1721648892,0.0000000000
0.8742,0.1708864777,0.0000000000
0.8752,0.1696069323,0.0000000000
0.8762,0.1683262510,0.0000000000
0.8772,0.1670444319,0.0000000000
0.8782,0.1657614729,0.0000000000
0.8792,0.1644773719,0.0000000000
0.8802,0.1631921270,0.0000000000
0.8812,0.1619057361,0.0000000000
0.8822,0.1606181971,0.0000000000
0.8832,0.1593295081,0.0000000000
0.8842,0.1580396669,0.0000000000
0.8852,0.1567486715,0.0000000000
0.8862,0.1554565198,0.0000000000
0.8872,0.1541632097,0.0000000000
0.8882,0.1528687393,0.0000000000
0.8892,0.1515731063,0.0000000000
0.8902,0.1502763086,0.0000000000
0.8912,0.1489783443,0.0000000000
0.8922,0.1476792112,0.0000000000
0.8932,0.1463789072,0.0000000000
0.8942,0.1450774301,0.0000000000
0.8952,0.1437747779,0.0000000000
0.8962,0.1424709485,0.0000000000
0.8972,0.1411659396,0.0000000000
0.8982,0.1398597492,0.0000000000
0.8992,0.1385523752,0.0000000000
0.9002,0.1372438153,0.0000000000
0.9012,0.1359340674,0.0000000000
0.9022,0.1346231294,0.0000000000
0.9032,0.1333109991,0.0000000000
0.9042,0.1319976744,0.0000000000
0.9052,0.1306831530,0.0000000000
0.9062,0.1293674327,0.0000000000
0.9072,0.1280505115,0.0000000000
0.9082,0.1267323870,0.0000000000
0.9092,0.1254130572,0.0000000000
0.9102,0.1240925197,0.0000000000
0.9112,0.1227707724,0.0000000000
0.9122,0.1214478130,0.0000000000
0.9132,0.1201236394,0.0000000000
0.9142,0.1187982492,0.0000000000
0.9152,0.1174716403,0.0000000000
0.9162,0.1161438105,0.0000000000
0.9172,0.1148147573,0.0000000000
0.9182,0.1134844787,0.0000000000
0.9192,0.1121529724,0.0000000000
0.9202,0.1108202360,0.0000000000
0.9212,0.1094862673,0.0000000000
0.9222,0.1081510641,0.0000000000
0.9232,0.1068146240,0.0000000000
0.9242,0.1054769447,0.0000000000
0.9251,0.1041380239,0.0000000000
0.9261,0.1027978594,0.0000000000
0.9271,0.1014564489,0.0000000000
0.9281,0.1001137899,0.0000000000
0.9291,0.0987698802,0.0000000000
0.9301,0.0974247174,0.0000000000
0.9311,0.0960782993,0.0000000000
0.9321,0.0947306234,0.0000000000
0.9331,0.0933816874,0.0000000000
0.9341,0.0920314889,0.0000000000
0.9351,0.0906800257,0.0000000000
0.9361,0.0893272953,0.0000000000
0.9371,0.0879732953,0.0000000000
0.9381,0.0866180233,0.0000000000
0.9391,0.0852614770,0.0000000000
0.9401,0.0839036539,0.0000000000
0.9411,0.0825445518,0.0000000000
0.9421,0.0811841680,0.0000000000
0.9431,0.0798225003,0.0000000000
0.9441,0.0784595461,0.0000000000
0.9451,0.0770953032,0.0000000000
0.9461,0.0757297689,0.0000000000
0.9471,0.0743629409,0.0000000000
0.9481,0.0729948168,0.0000000000
0.9491,0.0716253940,0.0000000000
0.9501,0.0702546701,0.0000000000
0.9511,0.0688826426,0.0000000000
0.9521,0.0675093090,0.0000000000
0.9531,0.0661346669,0.0000000000
0.9541,0.0647587138,0.0000000000
0.9551,0.0633814471,0.0000000000
0.9561,0.0620028643,0.0000000000
0.9571,0.0606229630,0.0000000000
0.9581,0.0592417405,0.0000000000
0.9591,0.0578591944,0.0000000000
0.9601,0.0564753222,0.0000000000
0.9611,0.0550901212,0.0000000000
0.9621,0.0537035889,0.0000000000
0.9631,0.0523157228,0.0000000000
0.9641,0.0509265203,0.0000000000
0.9651,0.0495359788,0.0000000000
0.9661,0.0481440958,0.0000000000
0.9671,0.0467508686,0.0000000000
0.9681,0.0453562946,0.0000000000
0.9691,0.0439603713,0.0000000000
0.9701,0.0425630960,0.0000000000
0.9711,0.0411644661,0.0000000000
0.9721,0.0397644789,0.0000000000
0.9731,0.0383631320,0.0000000000
0.9740,0.0369604225,0.0000000000
0.9750,0.0355563478,0.0000000000
0.9760,0.0341509053,0.0000000000
0.9770,0.0327440923,0.0000000000
0.9780,0.0313359062,0.0000000000
0.9790,0.0299263442,0.0000000000
0.9800,0.0285154037,0.0000000000
0.9810,0.0271030820,0.0000000000
0.9820,0.0256893763,0.0000000000
0.9830,0.0242742839,0.0000000000
0.9840,0.0228578022,0.0000000000
0.9850,0.0214399284,0.0000000000
0.9860,0.0200206597,0.0000000000
0.9870,0.0185999934,0.0000000000
0.9880,0.0171779268,0.0000000000
0.9890,0.0157544570,0.0000000000
0.9900,0.0143295814,0.0000000000
0.9910,0.0129032970,0.0000000000
0.9920,0.0114756013,0.0000000000
0.9930,0.0100464912,0.0000000000
0.9940,0.0086159642,0.0000000000
0.9950,0.0071840172,0.0000000000
0.9960,0.0057506476,0.0000000000
0.9970,0.0043158524,0.0000000000
0.9980,0.0028796289,0.0000000000
0.9990,0.0014419742,0.0000000000
