gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.1457,0.8908668906,0.6120029729
0.1467,0.8900902067,0.6099751092
0.1477,0.8893131044,0.6079508484
0.1487,0.8885355833,0.6059301577
0.1497,0.8877576429,0.6039130051
0.1507,0.8869792828,0.6018993588
0.1517,0.8862005026,0.5998891874
0.1527,0.8854213017,0.5978824601
0.1537,0.8846416798,0.5958791464
0.1547,0.8838616363,0.5938792161
0.1557,0.8830811709,0.5918826396
0.1567,0.8823002830,0.5898893876
0.1577,0.8815189722,0.5878994311
0.1587,0.8807372380,0.5859127416
0.1597,0.8799550801,0.5839292908
0.1607,0.8791724978,0.5819490510
0.1617,0.8783894908,0.5799719946
0.1627,0.8776060587,0.5779980945
0.1637,0.8768222008,0.5760273239
0.1647,0.8760379168,0.5740596563
0.1657,0.8752532063,0.5720950655
0.1667,0.8744680687,0.5701335258
0.1677,0.8736825036,0.5681750116
0.1687,0.8728965104,0.5662194977
0.1697,0.8721100889,0.5642669591
0.1707,0.8713232384,0.5623173713
0.1717,0.8705359586,0.5603707100
0.1727,0.8697482488,0.5584269510
0.1737,0.8689601088,0.5564860707
0.1747,0.8681715380,0.5545480455
0.1757,0.8673825359,0.5526128522
0.1766,0.8665931020,0.5506804680
0.1776,0.8658032360,0.5487508700
0.1786,0.8650129373,0.5468240359
0.1796,0.8642222054,0.5448999435
0.1806,0.8634310399,0.5429785709
0.1816,0.8626394402,0.5410598964
0.1826,0.8618474060,0.5391438985
0.1836,0.8610549368,0.5372305560
0.1846,0.8602620319,0.5353198480
0.1856,0.8594686911,0.5334117536
0.1866,0.8586749138,0.5315062525
0.1876,0.8578806995,0.5296033242
0.1886,0.8570860477,0.5277029487
0.1896,0.8562909580,0.5258051061
0.1906,0.8554954298,0.5239097768
0.1916,0.8546994628,0.5220169412
0.1926,0.8539030563,0.5201265801
0.1936,0.8531062100,0.5182386745
0.1946,0.8523089233,0.5163532056
0.1956,0.8515111957,0.5144701545
0.1966,0.8507130268,0.5125895029
0.1976,0.8499144161,0.5107112325
0.1986,0.8491153631,0.5088353251
0.1996,0.8483158672,0.5069617629
0.2006,0.8475159280,0.5050905281
0.2016,0.8467155451,0.5032216031
0.2026,0.8459147179,0.5013549705
0.2036,0.8451134458,0.4994906131
0.2046,0.8443117286,0.4976285139
0.2056,0.8435095655,0.4957686559
0.2066,0.8427069562,0.4939110224
0.2076,0.8419039001,0.4920555969
0.2086,0.8411003968,0.4902023629
0.2096,0.8402964457,0.4883513042
0.2106,0.8394920463,0.4865024047
0.2116,0.8386871982,0.4846556484
0.2126,0.8378819008,0.4828110195
0.2136,0.8370761537,0.4809685024
0.2146,0.8362699563,0.4791280816
0.2156,0.8354633081,0.4772897416
0.2166,0.8346562087,0.4754534674
0.2176,0.8338486575,0.4736192436
0.2186,0.8330406540,0.4717870555
0.2196,0.8322321978,0.4699568882
0.2206,0.8314232882,0.4681287270
0.2216,0.8306139248,0.4663025573
0.2226,0.8298041071,0.4644783648
0.2236,0.8289938346,0.4626561351
0.2246,0.8281831068,0.4608358540
0.2256,0.8273719231,0.4590175075
0.2265,0.8265602830,0.4572010816
0.2275,0.8257481861,0.4553865626
0.2285,0.8249356318,0.4535739368
0.2295,0.8241226195,0.4517631905
0.2305,0.8233091489,0.4499543103
0.2315,0.8224952193,0.4481472829
0.2325,0.8216808303,0.4463420950
0.2335,0.8208659813,0.4445387335
0.2345,0.8200506718,0.4427371854
0.2355,0.8192349012,0.4409374378
0.2365,0.8184186692,0.4391394778
0.2375,0.8176019750,0.4373432928
0.2385,0.8167848183,0.4355488701
0.2395,0.8159671985,0.4337561974
0.2405,0.8151491151,0.4319652620
0.2415,0.8143305675,0.4301760519
0.2425,0.8135115552,0.4283885548
0.2435,0.8126920777,0.4266027585
0.2445,0.8118721344,0.4248186512
0.2455,0.8110517249,0.4230362207
0.2465,0.8102308486,0.4212554555
0.2475,0.8094095049,0.4194763436
0.2485,0.8085876934,0.4176988735
0.2495,0.8077654134,0.4159230337
0.2505,0.8069426646,0.4141488126
0.2515,0.8061194462,0.4123761989
0.2525,0.8052957579,0.4106051813
0.2535,0.8044715990,0.4088357487
0.2545,0.8036469691,0.4070678898
0.2555,0.8028218675,0.4053015936
