family,param,n,log_neg_bits,effective_param
dephase,0.10,1,0.8479969066,0.1000000000
dephase,0.10,2,0.7136958148,0.1800000000
dephase,0.10,3,0.5964581396,0.2440000000
dephase,0.10,4,0.4952858294,0.2952000000
dephase,0.10,5,0.4089074674,0.3361600000
dephase,0.10,6,0.3358765191,0.3689280000
dephase,0.10,7,0.2746674377,0.3951424000
dephase,0.10,8,0.2237588224,0.4161139200
dephase,0.10,9,0.1816976111,0.4328911360
dephase,0.10,10,0.1471427920,0.4463129088
dephase,0.10,11,0.1188903832,0.4570503270
dephase,0.10,12,0.0958832164,0.4656402616
dephase,0.10,13,0.0772096065,0.4725122093
dephase,0.10,14,0.0620947166,0.4780097674
dephase,0.10,15,0.0498877426,0.4824078140
dephase,0.10,16,0.0400472479,0.4859262512
dephase,0.10,17,0.0321262374,0.4887410009
dephase,0.10,18,0.0257579666,0.4909928007
dephase,0.10,19,0.0206430327,0.4927942406
dephase,0.10,20,0.0165379885,0.4942353925
dephase,0.20,1,0.6780719051,0.2000000000
dephase,0.20,2,0.4436066515,0.3200000000
dephase,0.20,3,0.2821432288,0.3920000000
dephase,0.20,4,0.1758119937,0.4352000000
dephase,0.20,5,0.1080359486,0.4611200000
dephase,0.20,6,0.0657873557,0.4766720000
dephase,0.20,7,0.0398312827,0.4860032000
dephase,0.20,8,0.0240304870,0.4916019200
dephase,0.20,9,0.0144662705,0.4949611520
dephase,0.20,10,0.0086971575,0.4969766912
dephase,0.20,11,0.0052245835,0.4981860147
dephase,0.20,12,0.0031370200,0.4989116088
dephase,0.20,13,0.0018830304,0.4993469653
dephase,0.20,14,0.0011301132,0.4996081792
dephase,0.20,15,0.0006781741,0.4997649075
dephase,0.20,16,0.0004069427,0.4998589445
dephase,0.20,17,0.0002441794,0.4999153667
dephase,0.20,18,0.0001465126,0.4999492200
dephase,0.20,19,0.0000879093,0.4999695320
dephase,0.20,20,0.0000527463,0.4999817192
dephase,0.30,1,0.4854268272,0.3000000000
dephase,0.30,2,0.2141248054,0.4200000000
dephase,0.30,3,0.0894981508,0.4680000000
dephase,0.30,4,0.0364681671,0.4872000000
dephase,0.30,5,0.0146980709,0.4948800000
dephase,0.30,6,0.0058972096,0.4979520000
dephase,0.30,7,0.0023617773,0.4991808000
dephase,0.30,8,0.0009451749,0.4996723200
dephase,0.30,9,0.0003781443,0.4998689280
dephase,0.30,10,0.0001512696,0.4999475712
dephase,0.30,11,0.0000605097,0.4999790285
dephase,0.30,12,0.0000242042,0.4999916114
dephase,0.30,13,0.0000096817,0.4999966446
dephase,0.30,14,0.0000038727,0.4999986578
dephase,0.30,15,0.0000015491,0.4999994631
dephase,0.30,16,0.0000006196,0.4999997853
dephase,0.30,17,0.0000002479,0.4999999141
dephase,0.30,18,0.0000000991,0.4999999656
dephase,0.30,19,0.0000000397,0.4999999863
dephase,0.30,20,0.0000000159,0.4999999945
dephase,0.50,1,0.0000000000,0.5000000000
dephase,0.50,2,0.0000000000,0.5000000000
dephase,0.50,3,0.0000000000,0.5000000000
dephase,0.50,4,0.0000000000,0.5000000000
dephase,0.50,5,0.0000000000,0.5000000000
dephase,0.50,6,0.0000000000,0.5000000000
dephase,0.50,7,0.0000000000,0.5000000000
dephase,0.50,8,0.0000000000,0.5000000000
dephase,0.50,9,0.0000000000,0.5000000000
dephase,0.50,10,0.0000000000,0.5000000000
dephase,0.50,11,0.0000000000,0.5000000000
dephase,0.50,12,0.0000000000,0.5000000000
dephase,0.50,13,0.0000000000,0.5000000000
dephase,0.50,14,0.0000000000,0.5000000000
dephase,0.50,15,0.0000000000,0.5000000000
dephase,0.50,16,0.0000000000,0.5000000000
dephase,0.50,17,0.0000000000,0.5000000000
dephase,0.50,18,0.0000000000,0.5000000000
dephase,0.50,19,0.0000000000,0.5000000000
dephase,0.50,20,0.0000000000,0.5000000000
depolar,0.05,1,0.9448584458,0.0500000000
depolar,0.05,2,0.8904466927,0.0975000000
depolar,0.05,3,0.8367825658,0.1426250000
depolar,0.05,4,0.7838835325,0.1854937500
depolar,0.05,5,0.7317666383,0.2262190625
depolar,0.05,6,0.6804484421,0.2649081094
depolar,0.05,7,0.6299449510,0.3016627039
depolar,0.05,8,0.5802715550,0.3365795687
depolar,0.05,9,0.5314429622,0.3697505903
depolar,0.05,10,0.4834731355,0.4012630608
depolar,0.05,11,0.4363752298,0.4311999077
depolar,0.05,12,0.3901615327,0.4596399123
depolar,0.05,13,0.3448434066,0.4866579167
depolar,0.05,14,0.3004312347,0.5123250209
depolar,0.05,15,0.2569343710,0.5367087698
depolar,0.05,16,0.2143610932,0.5598733313
depolar,0.05,17,0.1727185623,0.5818796648
depolar,0.05,18,0.1320127853,0.6027856815
depolar,0.05,19,0.0922485852,0.6226463975
depolar,0.05,20,0.0534295753,0.6415140776
depolar,0.10,1,0.8875252707,0.1000000000
depolar,0.10,2,0.7782085764,0.1900000000
depolar,0.10,3,0.6721990191,0.2710000000
depolar,0.10,4,0.5696369096,0.3439000000
depolar,0.10,5,0.4706513911,0.4095100000
depolar,0.10,6,0.3753581101,0.4685590000
depolar,0.10,7,0.2838570125,0.5217031000
depolar,0.10,8,0.1962303521,0.5695327900
depolar,0.10,9,0.1125409885,0.6125795110
depolar,0.10,10,0.0328310503,0.6513215599
depolar,0.10,11,0.0000000000,0.6861894039
depolar,0.10,12,0.0000000000,0.7175704635
depolar,0.10,13,0.0000000000,0.7458134172
depolar,0.10,14,0.0000000000,0.7712320755
depolar,0.10,15,0.0000000000,0.7941088679
depolar,0.10,16,0.0000000000,0.8146979811
depolar,0.10,17,0.0000000000,0.8332281830
depolar,0.10,18,0.0000000000,0.8499053647
depolar,0.10,19,0.0000000000,0.8649148282
depolar,0.10,20,0.0000000000,0.8784233454
depolar,0.20,1,0.7655347464,0.2000000000
depolar,0.20,2,0.5459683691,0.3600000000
depolar,0.20,3,0.3425547455,0.4880000000
depolar,0.20,4,0.1562671631,0.5904000000
depolar,0.20,5,0.0000000000,0.6723200000
depolar,0.20,6,0.0000000000,0.7378560000
depolar,0.20,7,0.0000000000,0.7902848000
depolar,0.20,8,0.0000000000,0.8322278400
depolar,0.20,9,0.0000000000,0.8657822720
depolar,0.20,10,0.0000000000,0.8926258176
depolar,0.20,11,0.0000000000,0.9141006541
depolar,0.20,12,0.0000000000,0.9312805233
depolar,0.20,13,0.0000000000,0.9450244186
depolar,0.20,14,0.0000000000,0.9560195349
depolar,0.20,15,0.0000000000,0.9648156279
depolar,0.20,16,0.0000000000,0.9718525023
depolar,0.20,17,0.0000000000,0.9774820019
depolar,0.20,18,0.0000000000,0.9819856015
depolar,0.20,19,0.0000000000,0.9855884812
depolar,0.20,20,0.0000000000,0.9884707850
depolar,0.30,1,0.6322682155,0.3000000000
depolar,0.30,2,0.3045110418,0.5100000000
depolar,0.30,3,0.0207688651,0.6570000000
depolar,0.30,4,0.0000000000,0.7599000000
depolar,0.30,5,0.0000000000,0.8319300000
depolar,0.30,6,0.0000000000,0.8823510000
depolar,0.30,7,0.0000000000,0.9176457000
depolar,0.30,8,0.0000000000,0.9423519900
depolar,0.30,9,0.0000000000,0.9596463930
depolar,0.30,10,0.0000000000,0.9717524751
depolar,0.30,11,0.0000000000,0.9802267326
depolar,0.30,12,0.0000000000,0.9861587128
depolar,0.30,13,0.0000000000,0.9903110990
depolar,0.30,14,0.0000000000,0.9932177693
depolar,0.30,15,0.0000000000,0.9952524385
depolar,0.30,16,0.0000000000,0.9966767069
depolar,0.30,17,0.0000000000,0.9976736949
depolar,0.30,18,0.0000000000,0.9983715864
depolar,0.30,19,0.0000000000,0.9988601105
depolar,0.30,20,0.0000000000,0.9992020773
depolar,0.50,1,0.3219280949,0.5000000000
depolar,0.50,2,0.0000000000,0.7500000000
depolar,0.50,3,0.0000000000,0.8750000000
depolar,0.50,4,0.0000000000,0.9375000000
depolar,0.50,5,0.0000000000,0.9687500000
depolar,0.50,6,0.0000000000,0.9843750000
depolar,0.50,7,0.0000000000,0.9921875000
depolar,0.50,8,0.0000000000,0.9960937500
depolar,0.50,9,0.0000000000,0.9980468750
depolar,0.50,10,0.0000000000,0.9990234375
depolar,0.50,11,0.0000000000,0.9995117188
depolar,0.50,12,0.0000000000,0.9997558594
depolar,0.50,13,0.0000000000,0.9998779297
depolar,0.50,14,0.0000000000,0.9999389648
depolar,0.50,15,0.0000000000,0.9999694824
depolar,0.50,16,0.0000000000,0.9999847412
depolar,0.50,17,0.0000000000,0.9999923706
depolar,0.50,18,0.0000000000,0.9999961853
depolar,0.50,19,0.0000000000,0.9999980927
depolar,0.50,20,0.0000000000,0.9999990463
erasure,0.05,1,0.9634741240,0.0500000000
erasure,0.05,2,0.9278964537,0.0975000000
erasure,0.05,3,0.8932651217,0.1426250000
erasure,0.05,4,0.8595770261,0.1854937500
erasure,0.05,5,0.8268278474,0.2262190625
erasure,0.05,6,0.7950120701,0.2649081094
erasure,0.05,7,0.7641230119,0.3016627039
erasure,0.05,8,0.7341528574,0.3365795687
erasure,0.05,9,0.7050926974,0.3697505903
erasure,0.05,10,0.6769325732,0.4012630608
erasure,0.05,11,0.6496615255,0.4311999077
erasure,0.05,12,0.6232676470,0.4596399123
erasure,0.05,13,0.5977381383,0.4866579167
erasure,0.05,14,0.5730593670,0.5123250209
erasure,0.05,15,0.5492169291,0.5367087698
erasure,0.05,16,0.5261957118,0.5598733313
erasure,0.05,17,0.5039799583,0.5818796648
erasure,0.05,18,0.4825533325,0.6027856815
erasure,0.05,19,0.4618989844,0.6226463975
erasure,0.05,20,0.4419996154,0.6415140776
erasure,0.10,1,0.9259994186,0.1000000000
erasure,0.10,2,0.8559896973,0.1900000000
erasure,0.10,3,0.7899378690,0.2710000000
erasure,0.10,4,0.7277897895,0.3439000000
erasure,0.10,5,0.6694713011,0.4095100000
erasure,0.10,6,0.6148897870,0.4685590000
erasure,0.10,7,0.5639360483,0.5217031000
erasure,0.10,8,0.5164864277,0.5695327900
erasure,0.10,9,0.4724050951,0.6125795110
erasure,0.10,10,0.4315464134,0.6513215599
erasure,0.10,11,0.3937573063,0.6861894039
erasure,0.10,12,0.3588795586,0.7175704635
erasure,0.10,13,0.3267519910,0.7458134172
erasure,0.10,14,0.2972124619,0.7712320755
erasure,0.10,15,0.2700996665,0.7941088679
erasure,0.10,16,0.2452547094,0.8146979811
erasure,0.10,17,0.2225224439,0.8332281830
erasure,0.10,18,0.2017525779,0.8499053647
erasure,0.10,19,0.1828005550,0.8649148282
erasure,0.10,20,0.1655282253,0.8784233454
erasure,0.20,1,0.8479969066,0.2000000000
erasure,0.20,2,0.7136958148,0.3600000000
erasure,0.20,3,0.5964581396,0.4880000000
erasure,0.20,4,0.4952858294,0.5904000000
erasure,0.20,5,0.4089074674,0.6723200000
