loss_dB_total,e_d,rate
0.0,0.001,0.003020183611816523
0.0,0.001211527658628589,0.0029970903129836655
0.0,0.0014677992676220691,0.0029698584147446324
0.0,0.0017782794100389228,0.002937780979653329
0.0,0.0021544346900318843,0.002900037512705484
0.0,0.0026101572156825357,0.002855677573022433
0.0,0.0031622776601683794,0.0028036025634060133
0.0,0.003831186849557285,0.00274254567207576
0.0,0.004641588833612777,0.0026710500172635807
0.0,0.005623413251903491,0.0025874451579656183
0.0,0.006812920690579608,0.0024898222962883116
0.0,0.008254041852680182,0.0023760087263806286
0.0,0.01,0.0022435424061939113
0.0,0.012115276586285882,0.0020896479743266086
0.0,0.01467799267622069,0.0019219353263522725
0.0,0.01778279410038923,0.0017437114779670193
0.0,0.021544346900318832,0.0015565392390386992
0.0,0.026101572156825358,0.0013572225110616953
0.0,0.03162277660168379,0.0011553269371746217
0.0,0.03831186849557287,0.0009541367466188327
0.0,0.046415888336127774,0.0007551583484303628
0.0,0.05623413251903491,0.0005674969822802206
0.0,0.06812920690579612,0.0003964641590213841
0.0,0.08254041852680181,0.00024876489730259654
0.0,0.1,0.00013143128627519446
1.2244897959183674,0.001,0.0022933399748411008
1.2244897959183674,0.001211527658628589,0.0022755085452325504
1.2244897959183674,0.0014677992676220691,0.0022544768884170206
1.2244897959183674,0.0017782794100389228,0.0022296982333092777
1.2244897959183674,0.0021544346900318843,0.0022005379963014504
1.2244897959183674,0.0026101572156825357,0.002166261106541486
1.2244897959183674,0.0031622776601683794,0.0021260179219956786
1.2244897959183674,0.003831186849557285,0.0020788287164787604
1.2244897959183674,0.004641588833612777,0.0020235667768719193
1.2244897959183674,0.005623413251903491,0.0019589402368324392
1.2244897959183674,0.006812920690579608,0.0018834728986762176
1.2244897959183674,0.008254041852680182,0.001795484472632561
1.2244897959183674,0.01,0.001693070911102769
1.2244897959183674,0.012115276586285882,0.0015740858604755986
1.2244897959183674,0.01467799267622069,0.0014465980555563402
1.2244897959183674,0.01778279410038923,0.001309169433624499
1.2244897959183674,0.021544346900318832,0.0011675867492911118
1.2244897959183674,0.026101572156825358,0.001017039863499727
1.2244897959183674,0.03162277660168379,0.000862824721314884
1.2244897959183674,0.03831186849557287,0.0007106196778939305
1.2244897959183674,0.046415888336127774,0.0005616343128192272
1.2244897959183674,0.05623413251903491,0.00042201952788859095
1.2244897959183674,0.06812920690579612,0.00029341009512623395
1.2244897959183674,0.08254041852680181,0.00018374220106360845
1.2244897959183674,0.1,9.711438944814575e-05
2.4489795918367347,0.001,0.0017397078788584852
2.4489795918367347,0.001211527658628589,0.0017259863174609712
2.4489795918367347,0.0014677992676220691,0.0017097981178564607
2.4489795918367347,0.0017782794100389228,0.0016907217244608041
2.4489795918367347,0.0021544346900318843,0.0016682678953724394
2.4489795918367347,0.0026101572156825357,0.0016418699310042852
2.4489795918367347,0.0031622776601683794,0.0016108728162653717
2.4489795918367347,0.003831186849557285,0.0015745212610744493
2.4489795918367347,0.004641588833612777,0.001531946669478645
2.4489795918367347,0.005623413251903491,0.00148215313476513
2.4489795918367347,0.006812920690579608,0.0014240026545927892
2.4489795918367347,0.008254041852680182,0.0013561998970070528
2.4489795918367347,0.01,0.0012772770397060204
2.4489795918367347,0.012115276586285882,0.0011855794708146112
2.4489795918367347,0.01467799267622069,0.0010888187219422977
2.4489795918367347,0.01778279410038923,0.0009831516490316585
2.4489795918367347,0.021544346900318832,0.0008761456913274236
2.4489795918367347,0.026101572156825358,0.0007625005514878387
2.4489795918367347,0.03162277660168379,0.0006461975909783525
2.4489795918367347,0.03831186849557287,0.0005307893961608533
2.4489795918367347,0.046415888336127774,0.00041931137195964235
2.4489795918367347,0.05623413251903491,0.0003142442492976194
2.4489795918367347,0.06812920690579612,0.00021751849205416487
2.4489795918367347,0.08254041852680181,0.0001359746300204926
2.4489795918367347,0.1,7.189249190629092e-05
3.673469387755102,0.001,0.0013185626632238104
3.673469387755102,0.001211527658628589,0.0013080357946814922
3.673469387755102,0.0014677992676220691,0.0012956131091043388
3.673469387755102,0.0017782794100389228,0.0012809704869512339
3.673469387755102,0.0021544346900318843,0.001263731782526281
3.673469387755102,0.0026101572156825357,0.001243461311974072
3.673469387755102,0.0031622776601683794,0.0012196555059395542
3.673469387755102,0.003831186849557285,0.001191733715260005
3.673469387755102,0.004641588833612777,0.0011590281930071228
3.673469387755102,0.005623413251903491,0.00112077332777381
3.673469387755102,0.006812920690579608,0.001076094277376006
3.673469387755102,0.008254041852680182,0.0010239952573196087
3.673469387755102,0.01,0.0009633478855901026
3.673469387755102,0.012115276586285882,0.0008928801897128522
3.673469387755102,0.01467799267622069,0.0008195364766486824
3.673469387755102,0.01778279410038923,0.0007384953583915619
3.673469387755102,0.021544346900318832,0.0006576784675426515
3.673469387755102,0.026101572156825358,0.0005719295726444359
3.673469387755102,0.03162277660168379,0.0004842434910256518
3.673469387755102,0.03831186849557287,0.0003972892601390917
3.673469387755102,0.046415888336127774,0.0003133449652520025
3.673469387755102,0.05623413251903491,0.0002342705167844012
3.673469387755102,0.06812920690579612,0.00016173418272220197
3.673469387755102,0.08254041852680181,0.00010080013633669346
3.673469387755102,0.1,5.33105466047464e-05
4.8979591836734695,0.001,0.000998571758557719
4.8979591836734695,0.001211527658628589,0.0009905177394354129
4.8979591836734695,0.0014677992676220691,0.0009810102661289006
4.8979591836734695,0.0017782794100389228,0.0009698007317981269
4.8979591836734695,0.0021544346900318843,0.0009566006389341184
4.8979591836734695,0.0026101572156825357,0.0009410758384840653
4.8979591836734695,0.0031622776601683794,0.0009228401282107127
4.8979591836734695,0.003831186849557285,0.0009014482014370294
4.8979591836734695,0.004641588833612777,0.0008763879641104227
4.8979591836734695,0.005623413251903491,0.0008470722776556345
4.8979591836734695,0.006812920690579608,0.0008128302420299659
4.8979591836734695,0.008254041852680182,0.0007728982140405185
4.8979591836734695,0.01,0.0007264108688609179
4.8979591836734695,0.012115276586285882,0.0006723927694154636
4.8979591836734695,0.01467799267622069,0.0006168608531343797
4.8979591836734695,0.01778279410038923,0.0005550905151707765
4.8979591836734695,0.021544346900318832,0.0004938423044429019
4.8979591836734695,0.026101572156825358,0.00042916681538582725
4.8979591836734695,0.03162277660168379,0.00036307161136759047
4.8979591836734695,0.03831186849557287,0.0002975632344173983
4.8979591836734695,0.046415888336127774,0.00023435275264982794
4.8979591836734695,0.05623413251903491,0.00017483592654631475
4.8979591836734695,0.06812920690579612,0.00012069436720823698
4.8979591836734695,0.08254041852680181,7.492651243377088e-05
4.8979591836734695,0.1,3.959001255192561e-05
6.122448979591837,0.001,0.0007556897277228022
6.122448979591837,0.001211527658628589,0.0007495427196220083
6.122448979591837,0.0014677992676220691,0.0007422838563964534
6.122448979591837,0.0017782794100389228,0.000733722847591104
6.122448979591837,0.0021544346900318843,0.0007236388827669831
6.122448979591837,0.0026101572156825357,0.0007117762231006807
6.122448979591837,0.0031622776601683794,0.000697839302437668
6.122448979591837,0.003831186849557285,0.0006814873311023121
6.122448979591837,0.004641588833612777,0.0006623284162462448
6.122448979591837,0.005623413251903491,0.0006399132427533307
